[2026-04-22 20:37:33] Res: EXITOSO | Vel: 1.28 | Fuel: 52.0%
[2026-04-22 20:38:06] Res: EXITOSO | Vel: 0.89 | Fuel: 50.5%
[2026-04-22 20:38:18] Res: CHOQUE | Vel: 4.04 | Fuel: 100.0%
[2026-04-22 20:38:30] Res: CRASH | Vel: 15.03 | Fuel: 25.5%
[2026-04-22 20:38:40] Res: CRASH | Vel: 9.63 | Fuel: 79.5%
[2026-04-22 20:38:47] Res: CHOQUE | Vel: 3.12 | Fuel: 54.0%
[2026-04-28 23:48:00] Nivel: 9 | Res: CÁPSULA DESTRUIDA | Vel: 6.22 | Fuel: 11.0%
[2026-04-28 23:48:08] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 12.96 | Fuel: 0.0%
[2026-04-28 23:48:12] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 12.96 | Fuel: 0.0%
[2026-04-28 23:48:16] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 6.24 | Fuel: 40.0%
[2026-04-28 23:48:20] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 2.00 | Fuel: 20.0%
[2026-04-28 23:48:24] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 10.12 | Fuel: 10.0%
[2026-04-28 23:48:27] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: -2.47 | Fuel: 38.5%
[2026-04-28 23:48:32] Nivel: 9 | Res: CRASH / FUERA DE RUTA | Vel: 6.24 | Fuel: 40.0%
[2026-04-28 23:48:41] Nivel: 9 | Res: ATERRIZAJE PERFECTO | Vel: 1.96 | Fuel: 34.0%
[2026-04-28 23:48:45] Nivel: 10 | Res: CÁPSULA DESTRUIDA | Vel: 3.73 | Fuel: 30.5%
[2026-04-28 23:48:52] Nivel: 10 | Res: CÁPSULA DESTRUIDA | Vel: 7.48 | Fuel: 40.0%
[2026-04-28 23:48:55] Nivel: 10 | Res: CRASH / FUERA DE RUTA | Vel: 4.29 | Fuel: 16.5%
[2026-04-28 23:48:58] Nivel: 10 | Res: ATERRIZAJE PERFECTO | Vel: 2.20 | Fuel: 27.5%
[2026-04-28 23:49:02] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: -0.26 | Fuel: 21.5%
[2026-04-28 23:49:07] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 5.49 | Fuel: 40.0%
[2026-04-28 23:49:10] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 9.30 | Fuel: 2.5%
[2026-04-28 23:49:12] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 3.44 | Fuel: 15.0%
[2026-04-28 23:49:13] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 10.71 | Fuel: 0.0%
[2026-04-28 23:49:19] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 12.24 | Fuel: 0.0%
[2026-04-28 23:49:21] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: -4.88 | Fuel: 23.0%
[2026-04-28 23:49:24] Nivel: 11 | Res: CRASH / FUERA DE RUTA | Vel: 9.69 | Fuel: 0.0%
[2026-04-28 23:49:27] Nivel: 11 | Res: ATERRIZAJE PERFECTO | Vel: 1.69 | Fuel: 34.5%
[2026-04-28 23:49:30] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 9.98 | Fuel: 5.5%
[2026-04-28 23:49:32] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 23:49:33] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 10.50 | Fuel: 0.0%
[2026-04-28 23:49:35] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 11.03 | Fuel: 0.0%
[2026-04-28 23:49:37] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 10.68 | Fuel: 0.0%
[2026-04-28 23:49:38] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 13.13 | Fuel: 0.0%
[2026-04-28 23:49:47] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 13.48 | Fuel: 0.0%
[2026-04-28 23:49:48] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 11.90 | Fuel: 0.0%
[2026-04-28 23:49:50] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 12.43 | Fuel: 0.0%
[2026-04-28 23:49:52] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 13.30 | Fuel: 0.0%
[2026-04-28 23:49:54] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 4.72 | Fuel: 7.5%
[2026-04-28 23:49:58] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: 7.52 | Fuel: 40.0%
[2026-04-28 23:50:00] Nivel: 12 | Res: CRASH / FUERA DE RUTA | Vel: -2.10 | Fuel: 21.0%
